node,system,frequency,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16
GV23,body,1,-0.489824,0.481895,0.102272,0.416467,0.783688,-0.118453,0.253781,0.586426,0.418680,0.422535,0.013035,0.195827,-0.298684,0.119929,0.060043,0.317903
GV25,body,1,-1.005284,0.495474,0.549095,0.017064,0.921858,0.140123,0.241974,0.495119,0.323939,-0.063567,-0.277907,0.000829,-0.424810,0.117999,0.072440,0.410585
GV27,body,1,-0.671880,0.545066,0.578874,0.197376,0.856540,-0.042604,0.308122,0.823133,0.260872,0.257326,0.010044,0.059841,-0.437564,0.293130,0.288880,0.279176
GV28,body,1,-0.889614,0.584404,0.348131,0.294770,0.705151,-0.000413,0.286690,0.589715,0.346142,0.202025,-0.036980,0.089534,-0.286386,0.036881,-0.127350,0.044420
GV29,body,1,-0.223848,-0.290729,-0.163643,0.319110,0.661170,0.158698,-0.501360,-0.403521,-0.181013,0.828981,0.274115,0.524349,-0.913767,-0.536068,-0.020110,0.539365
GV3,body,1,-0.661241,0.584101,0.114081,0.085249,0.469891,0.120709,0.187996,0.746314,0.635089,0.470639,0.122646,0.005882,-0.532631,-0.017360,-0.190499,0.172468
GV5,body,1,-0.640164,0.610243,0.584333,0.229171,0.673874,-0.034677,0.145284,0.597224,0.306543,0.403559,-0.196855,-0.202337,-0.388539,-0.310261,-0.003916,0.254870
GV6,body,1,-0.835788,0.516373,0.242959,0.444945,0.647480,0.052606,0.339254,0.436068,0.409341,0.346429,-0.161319,0.210498,-0.309720,0.053968,-0.007353,0.146017
GV7,body,1,-0.825151,0.458586,0.301317,0.192559,0.597596,0.260161,0.135765,0.788120,0.465252,0.515249,0.013977,-0.254727,-0.419412,-0.124940,-0.073262,0.185360
GV8,body,1,-0.636295,0.655607,0.399108,0.313359,0.689519,0.056606,0.334626,0.515429,0.340291,0.345963,0.037152,-0.013819,-0.409372,0.251900,-0.109225,0.531475
HT5,body,1,-0.347635,-0.022448,-0.317547,0.653830,0.703932,0.133663,-0.827852,-0.643345,0.103373,0.667533,-0.126839,0.487797,-0.924799,-0.210939,0.009370,0.309863
KI17,body,1,0.503407,-0.405566,0.979751,0.870992,0.760069,-0.331788,0.991112,-1.021004,1.061157,0.354373,-0.035140,1.149332,-0.646346,-0.613483,0.673571,1.181066
KI9,body,1,-0.082003,-0.053719,-0.285289,0.176984,1.035331,-0.081762,-0.765229,-0.380253,-0.379787,0.546065,0.443473,0.224020,-1.261181,-0.612803,-0.406021,0.642964
LR14,body,1,-0.541402,0.132165,0.224033,0.952469,0.838544,0.555370,-0.997672,-0.654871,0.376382,0.200243,-0.034289,0.673859,-0.419844,0.100833,0.336544,0.371008
LR2,body,1,-0.266354,-0.241377,-0.071663,0.505442,0.645799,0.455273,-0.730714,-0.524164,0.009426,0.962712,0.196827,0.393715,-0.708352,-0.346913,-0.226405,0.349409
PC7,body,1,-0.373345,-0.343529,-0.304506,0.811361,0.499293,0.250226,-0.790669,-0.658115,-0.082539,0.978640,-0.008345,0.471271,-0.964308,-0.563392,-0.237368,0.109472
SP4,body,1,-0.094254,-0.299488,0.016085,0.501310,0.538502,-0.046007,-0.429855,-0.666128,0.246455,0.601930,0.187291,0.715001,-0.904202,-0.456197,0.418973,0.837404
ST21,body,1,0.013926,-0.506347,0.083349,0.530782,0.666097,0.212041,-0.392424,-0.850691,0.144862,0.959507,0.135177,0.707866,-0.965616,-0.669769,-0.149141,0.794162
ST24,body,1,0.596873,-0.617334,1.148448,1.117221,0.668044,-0.244925,1.060365,-1.358625,1.150098,0.540275,-0.052748,1.356606,-0.718356,-0.590620,0.705258,1.269109
ST30,body,1,0.518699,-0.386728,0.881349,0.707556,0.763564,-0.389371,1.004278,-1.013186,1.166806,0.269484,-0.158044,1.128328,-0.740916,-0.407046,0.727791,1.263352
ST31,body,1,0.694613,-0.559138,1.027904,1.031068,0.697147,-0.344406,0.960256,-1.077558,1.281671,0.416863,-0.059330,1.324888,-0.598613,-0.445216,0.835861,1.456072
ST40,body,1,0.108135,-0.626810,-0.005200,0.483727,0.698694,-0.034427,-0.475271,-0.520011,0.222281,0.711062,0.257722,0.748016,-0.915020,-0.525440,0.371201,0.871740
TE6,body,1,-0.673462,0.080858,-0.311725,0.571061,0.806467,0.622635,-1.206564,-0.461208,-0.074365,1.022421,0.048242,0.392522,-0.822751,-0.034601,-0.115481,0.198666
